SPECIES_BULBASAUR : MAX(30, 50) ; MIN(41, 18)
SPECIES_RAMPARDOS : MAX(28, 60) ; MIN(10, 3)
SPECIES_SHIELDON : MAX(32, 48) ; MIN(26, 15)
SPECIES_BASTIODON : MAX(39, 57) ; MIN(14, 8)
SPECIES_BURMY : MAX(29, 50) ; MIN(33, 7)
SPECIES_WORMADAM : MAX(28, 53) ; MIN(32, 5)
SPECIES_MOTHIM : MAX(32, 51) ; MIN(47, 3)
SPECIES_COMBEE : MAX(24, 47) ; MIN(16, 15)
SPECIES_VESPIQUEN : MAX(24, 59) ; MIN(19, 4)
SPECIES_PACHIRISU : MAX(31, 51) ; MIN(43, 7)
SPECIES_BUIZEL : MAX(40, 53) ; MIN(45, 10)
SPECIES_FLOATZEL : MAX(36, 60) ; MIN(34, 2)
SPECIES_CHERUBI : MAX(29, 47) ; MIN(30, 16)
SPECIES_CHERRIM/NORMAL : MAX(35, 55) ; MIN(24, 9)
SPECIES_SHELLOS : MAX(30, 50) ; MIN(23, 14)
SPECIES_GASTRODON : MAX(30, 55) ; MIN(16, 8)
SPECIES_AMBIPOM : MAX(21, 62) ; MIN(13, 0)
SPECIES_DRIFLOON : MAX(41, 56) ; MIN(27, 8)
SPECIES_DRIFBLIM : MAX(11, 56) ; MIN(29, 5)
SPECIES_BUNEARY : MAX(29, 54) ; MIN(21, 3)
SPECIES_LOPUNNY : MAX(31, 59) ; MIN(23, 4)
SPECIES_MISMAGIUS : MAX(28, 60) ; MIN(34, 2)
SPECIES_HONCHKROW : MAX(39, 57) ; MIN(2, 8)
SPECIES_GLAMEOW : MAX(19, 55) ; MIN(50, 5)
SPECIES_PURUGLY : MAX(40, 58) ; MIN(13, 4)
SPECIES_CHINGLING : MAX(34, 48) ; MIN(28, 12)
SPECIES_STUNKY : MAX(25, 50) ; MIN(48, 11)
SPECIES_SKUNTANK : MAX(31, 56) ; MIN(17, 5)
SPECIES_BRONZOR : MAX(28, 49) ; MIN(30, 13)
SPECIES_BRONZONG : MAX(29, 57) ; MIN(26, 5)
SPECIES_BONSLY : MAX(34, 54) ; MIN(30, 9)
SPECIES_MIME_JR : MAX(27, 54) ; MIN(43, 5)
SPECIES_HAPPINY : MAX(24, 51) ; MIN(37, 11)
SPECIES_CHATOT : MAX(28, 52) ; MIN(33, 12)
SPECIES_SPIRITOMB : MAX(24, 57) ; MIN(35, 6)
SPECIES_GIBLE : MAX(39, 54) ; MIN(34, 9)
SPECIES_GABITE : MAX(46, 61) ; MIN(15, 7)
SPECIES_GARCHOMP : MAX(50, 63) ; MIN(31, 0)
SPECIES_MUNCHLAX : MAX(30, 53) ; MIN(27, 11)
SPECIES_RIOLU : MAX(23, 53) ; MIN(27, 13)
SPECIES_LUCARIO : MAX(17, 56) ; MIN(32, 7)
SPECIES_HIPPOPOTAS : MAX(17, 51) ; MIN(23, 18)
SPECIES_HIPPOWDON : MAX(17, 57) ; MIN(7, 7)
SPECIES_SKORUPI : MAX(37, 52) ; MIN(43, 13)
SPECIES_DRAPION : MAX(11, 55) ; MIN(26, 5)
SPECIES_CROAGUNK : MAX(39, 54) ; MIN(21, 13)
SPECIES_TOXICROAK : MAX(43, 58) ; MIN(13, 5)
SPECIES_CARNIVINE : MAX(38, 53) ; MIN(17, 13)
SPECIES_FINNEON : MAX(21, 49) ; MIN(32, 12)
SPECIES_LUMINEON : MAX(22, 57) ; MIN(54, 5)
SPECIES_MANTYKE : MAX(31, 51) ; MIN(29, 9)
SPECIES_SNOVER : MAX(39, 53) ; MIN(33, 10)
SPECIES_ABOMASNOW : MAX(43, 63) ; MIN(8, 0)
SPECIES_WEAVILE : MAX(16, 59) ; MIN(31, 4)
SPECIES_MAGNEZONE : MAX(4, 59) ; MIN(28, 8)
SPECIES_LICKILICKY : MAX(38, 61) ; MIN(29, 2)
SPECIES_RHYPERIOR : MAX(41, 61) ; MIN(21, 0)
SPECIES_TANGROWTH : MAX(35, 61) ; MIN(22, 0)
SPECIES_ELECTIVIRE : MAX(40, 63) ; MIN(10, 1)
SPECIES_MAGMORTAR : MAX(18, 63) ; MIN(38, 0)
SPECIES_TOGEKISS : MAX(49, 53) ; MIN(60, 6)
SPECIES_YANMEGA : MAX(39, 58) ; MIN(4, 6)
SPECIES_LEAFEON : MAX(26, 54) ; MIN(54, 9)
SPECIES_GLACEON : MAX(22, 53) ; MIN(13, 6)
SPECIES_GLISCOR : MAX(18, 56) ; MIN(2, 7)
SPECIES_MAMOSWINE : MAX(42, 59) ; MIN(33, 4)
SPECIES_PORYGON_Z : MAX(27, 57) ; MIN(32, 6)
SPECIES_GALLADE : MAX(15, 62) ; MIN(18, 1)
SPECIES_PROBOPASS : MAX(15, 59) ; MIN(25, 4)
SPECIES_DUSKNOIR : MAX(41, 59) ; MIN(35, 3)
SPECIES_FROSLASS : MAX(29, 55) ; MIN(28, 8)
SPECIES_ROTOM : MAX(54, 52) ; MIN(32, 9)
SPECIES_UXIE : MAX(15, 57) ; MIN(32, 13)
SPECIES_MESPRIT : MAX(30, 59) ; MIN(29, 10)
SPECIES_AZELF : MAX(26, 63) ; MIN(31, 11)
SPECIES_DIALGA : MAX(37, 63) ; MIN(24, 0)
SPECIES_PALKIA : MAX(50, 63) ; MIN(32, 0)
SPECIES_HEATRAN : MAX(44, 58) ; MIN(41, 11)
SPECIES_REGIGIGAS : MAX(44, 59) ; MIN(31, 3)
SPECIES_GIRATINA : MAX(41, 63) ; MIN(3, 0)
SPECIES_CRESSELIA : MAX(44, 61) ; MIN(13, 1)
SPECIES_PHIONE : MAX(19, 51) ; MIN(32, 17)
SPECIES_MANAPHY : MAX(28, 50) ; MIN(40, 14)
SPECIES_DARKRAI : MAX(31, 60) ; MIN(42, 2)
SPECIES_SHAYMIN : MAX(29, 47) ; MIN(29, 17)
SPECIES_ARCEUS : MAX(8, 63) ; MIN(10, 0)
SPECIES_VICTINI : MAX(25, 53) ; MIN(37, 6)
SPECIES_SNIVY : MAX(31, 51) ; MIN(26, 15)
SPECIES_SERVINE : MAX(29, 56) ; MIN(31, 6)
SPECIES_SERPERIOR : MAX(42, 59) ; MIN(46, 4)
SPECIES_TEPIG : MAX(30, 48) ; MIN(31, 10)
SPECIES_PIGNITE : MAX(38, 55) ; MIN(25, 5)
SPECIES_EMBOAR : MAX(46, 62) ; MIN(46, 2)
SPECIES_OSHAWOTT : MAX(32, 49) ; MIN(26, 14)
SPECIES_DEWOTT : MAX(17, 56) ; MIN(32, 6)
SPECIES_SAMUROTT : MAX(37, 63) ; MIN(2, 0)
SPECIES_PATRAT : MAX(39, 51) ; MIN(32, 14)
SPECIES_WATCHOG : MAX(28, 61) ; MIN(44, 0)
SPECIES_LILLIPUP : MAX(33, 51) ; MIN(19, 14)
SPECIES_HERDIER : MAX(29, 55) ; MIN(18, 9)
SPECIES_STOUTLAND : MAX(29, 62) ; MIN(16, 1)
SPECIES_PURRLOIN : MAX(27, 52) ; MIN(47, 9)
SPECIES_LIEPARD : MAX(16, 59) ; MIN(50, 3)
SPECIES_PANSAGE : MAX(33, 52) ; MIN(26, 11)
SPECIES_SIMISAGE : MAX(14, 62) ; MIN(24, 0)
SPECIES_PANSEAR : MAX(36, 52) ; MIN(32, 10)
SPECIES_SIMISEAR : MAX(20, 57) ; MIN(31, 5)
SPECIES_PANPOUR : MAX(31, 53) ; MIN(28, 10)
SPECIES_SIMIPOUR : MAX(37, 57) ; MIN(28, 6)
SPECIES_MUNNA : MAX(31, 47) ; MIN(29, 17)
SPECIES_MUSHARNA : MAX(16, 57) ; MIN(38, 3)
SPECIES_PIDOVE : MAX(30, 51) ; MIN(26, 15)
SPECIES_TRANQUILL : MAX(32, 56) ; MIN(24, 5)
SPECIES_UNFEZANT : MAX(29, 63) ; MIN(22, 0)
SPECIES_BLITZLE : MAX(30, 58) ; MIN(16, 4)
SPECIES_ZEBSTRIKA : MAX(22, 63) ; MIN(12, 0)
SPECIES_ROGGENROLA : MAX(36, 49) ; MIN(29, 14)
SPECIES_BOLDORE : MAX(49, 53) ; MIN(32, 10)
SPECIES_GIGALITH : MAX(47, 62) ; MIN(26, 1)
SPECIES_WOOBAT : MAX(28, 47) ; MIN(14, 16)
SPECIES_SWOOBAT : MAX(32, 59) ; MIN(50, 0)
SPECIES_DRILBUR : MAX(38, 53) ; MIN(10, 8)
SPECIES_EXCADRILL : MAX(48, 58) ; MIN(20, 2)
SPECIES_AUDINO : MAX(32, 55) ; MIN(22, 9)
SPECIES_TIMBURR : MAX(19, 50) ; MIN(32, 13)
SPECIES_GURDURR : MAX(36, 63) ; MIN(50, 0)
SPECIES_CONKELDURR : MAX(57, 57) ; MIN(35, 6)
SPECIES_TYMPOLE : MAX(36, 49) ; MIN(27, 16)
SPECIES_PALPITOAD : MAX(34, 52) ; MIN(29, 9)
SPECIES_SEISMITOAD : MAX(45, 61) ; MIN(16, 3)
SPECIES_THROH : MAX(46, 53) ; MIN(55, 8)
SPECIES_SAWK : MAX(15, 56) ; MIN(33, 6)
SPECIES_SEWADDLE : MAX(30, 49) ; MIN(23, 15)
SPECIES_SWADLOON : MAX(32, 51) ; MIN(32, 11)
SPECIES_LEAVANNY : MAX(33, 63) ; MIN(22, 0)
SPECIES_VENIPEDE : MAX(31, 47) ; MIN(20, 17)
SPECIES_WHIRLIPEDE : MAX(28, 50) ; MIN(32, 13)
SPECIES_SCOLIPEDE : MAX(31, 63) ; MIN(4, 0)
SPECIES_COTTONEE : MAX(26, 45) ; MIN(29, 19)
SPECIES_WHIMSICOTT : MAX(26, 57) ; MIN(25, 6)
SPECIES_PETILIL : MAX(27, 51) ; MIN(26, 9)
SPECIES_LILLIGANT : MAX(28, 62) ; MIN(35, 1)
SPECIES_BASCULIN : MAX(43, 50) ; MIN(32, 13)
SPECIES_SANDILE : MAX(35, 45) ; MIN(21, 21)
SPECIES_KROKOROK : MAX(40, 59) ; MIN(24, 6)
SPECIES_KROOKODILE : MAX(51, 63) ; MIN(16, 0)
SPECIES_DARUMAKA : MAX(32, 50) ; MIN(23, 15)
SPECIES_DARMANITAN : MAX(35, 61) ; MIN(23, 3)
SPECIES_MARACTUS : MAX(25, 63) ; MIN(38, 0)
SPECIES_DWEBBLE : MAX(27, 49) ; MIN(36, 17)
SPECIES_CRUSTLE : MAX(35, 61) ; MIN(36, 5)
SPECIES_SCRAGGY : MAX(29, 52) ; MIN(33, 12)
SPECIES_SCRAFTY : MAX(35, 59) ; MIN(27, 4)
SPECIES_SIGILYPH : MAX(31, 63) ; MIN(59, 0)
SPECIES_YAMASK : MAX(28, 48) ; MIN(28, 15)
SPECIES_COFAGRIGUS : MAX(12, 63) ; MIN(4, 0)
SPECIES_TIRTOUGA : MAX(24, 47) ; MIN(30, 15)
SPECIES_CARRACOSTA : MAX(47, 59) ; MIN(22, 7)
SPECIES_ARCHEN : MAX(47, 49) ; MIN(24, 15)
SPECIES_ARCHEOPS : MAX(28, 59) ; MIN(5, 1)
SPECIES_TRUBBISH : MAX(36, 48) ; MIN(25, 12)
SPECIES_GARBODOR : MAX(18, 59) ; MIN(24, 3)
SPECIES_ZORUA : MAX(28, 52) ; MIN(28, 10)
SPECIES_ZOROARK : MAX(43, 61) ; MIN(20, 4)
SPECIES_MINCCINO : MAX(22, 52) ; MIN(38, 9)
SPECIES_CINCCINO : MAX(30, 56) ; MIN(39, 6)
SPECIES_GOTHITA : MAX(24, 51) ; MIN(27, 13)
SPECIES_GOTHORITA : MAX(28, 56) ; MIN(14, 7)
SPECIES_GOTHITELLE : MAX(22, 63) ; MIN(12, 0)
SPECIES_SOLOSIS : MAX(28, 46) ; MIN(28, 19)
SPECIES_DUOSION : MAX(27, 51) ; MIN(32, 11)
SPECIES_REUNICLUS : MAX(28, 52) ; MIN(19, 11)
SPECIES_DUCKLETT : MAX(32, 51) ; MIN(26, 12)
SPECIES_SWANNA : MAX(33, 61) ; MIN(19, 2)
SPECIES_VANILLITE : MAX(28, 49) ; MIN(31, 14)
SPECIES_VANILLISH : MAX(25, 58) ; MIN(38, 5)
SPECIES_VANILLUXE : MAX(24, 59) ; MIN(28, 5)
SPECIES_DEERLING : MAX(29, 52) ; MIN(26, 9)
SPECIES_SAWSBUCK : MAX(33, 63) ; MIN(13, 2)
SPECIES_EMOLGA : MAX(29, 46) ; MIN(31, 10)
SPECIES_KARRABLAST : MAX(35, 50) ; MIN(30, 9)
SPECIES_ESCAVALIER : MAX(32, 63) ; MIN(36, 0)
SPECIES_FOONGUS : MAX(28, 47) ; MIN(29, 16)
SPECIES_AMOONGUSS : MAX(29, 55) ; MIN(30, 7)
SPECIES_FRILLISH : MAX(47, 58) ; MIN(30, 5)
SPECIES_JELLICENT : MAX(35, 59) ; MIN(27, 3)
SPECIES_ALOMOMOLA : MAX(38, 63) ; MIN(36, 0)
SPECIES_JOLTIK : MAX(43, 46) ; MIN(31, 21)
SPECIES_GALVANTULA : MAX(28, 53) ; MIN(30, 9)
SPECIES_FERROSEED : MAX(31, 51) ; MIN(32, 16)
SPECIES_FERROTHORN : MAX(27, 59) ; MIN(32, 0)
SPECIES_KLINK : MAX(32, 51) ; MIN(16, 13)
SPECIES_KLANG : MAX(28, 56) ; MIN(29, 7)
SPECIES_KLINKLANG : MAX(32, 61) ; MIN(29, 4)
SPECIES_TYNAMO : MAX(29, 41) ; MIN(30, 25)
SPECIES_EELEKTRIK : MAX(28, 57) ; MIN(22, 1)
SPECIES_EELEKTROSS : MAX(40, 57) ; MIN(17, 8)
SPECIES_ELGYEM : MAX(34, 52) ; MIN(25, 12)
SPECIES_BEHEEYEM : MAX(31, 59) ; MIN(27, 5)
SPECIES_LITWICK : MAX(30, 49) ; MIN(26, 13)
SPECIES_LAMPENT : MAX(16, 55) ; MIN(30, 9)
SPECIES_CHANDELURE : MAX(32, 59) ; MIN(32, 0)
SPECIES_AXEW : MAX(36, 51) ; MIN(36, 11)
SPECIES_FRAXURE : MAX(44, 58) ; MIN(26, 6)
SPECIES_HAXORUS : MAX(51, 63) ; MIN(12, 0)
SPECIES_CUBCHOO : MAX(33, 51) ; MIN(29, 16)
SPECIES_BEARTIC : MAX(42, 62) ; MIN(29, 1)
SPECIES_CRYOGONAL : MAX(17, 63) ; MIN(33, 0)
SPECIES_SHELMET : MAX(34, 49) ; MIN(39, 15)
SPECIES_ACCELGOR : MAX(13, 56) ; MIN(22, 7)
SPECIES_STUNFISK : MAX(24, 49) ; MIN(38, 11)
SPECIES_MIENFOO : MAX(18, 52) ; MIN(33, 13)
SPECIES_MIENSHAO : MAX(39, 59) ; MIN(18, 4)
SPECIES_DRUDDIGON : MAX(42, 59) ; MIN(26, 2)
SPECIES_GOLETT : MAX(37, 56) ; MIN(34, 9)
SPECIES_GOLURK : MAX(36, 63) ; MIN(29, 0)
SPECIES_PAWNIARD : MAX(43, 53) ; MIN(26, 13)
SPECIES_BISHARP : MAX(37, 63) ; MIN(26, 0)
SPECIES_BOUFFALANT : MAX(34, 59) ; MIN(25, 8)
SPECIES_RUFFLET : MAX(35, 53) ; MIN(35, 10)
SPECIES_BRAVIARY : MAX(35, 62) ; MIN(6, 1)
SPECIES_VULLABY : MAX(33, 58) ; MIN(38, 5)
SPECIES_MANDIBUZZ : MAX(26, 62) ; MIN(18, 1)
SPECIES_HEATMOR : MAX(51, 57) ; MIN(21, 8)
SPECIES_DURANT : MAX(46, 46) ; MIN(29, 18)
SPECIES_DEINO : MAX(32, 53) ; MIN(31, 9)
SPECIES_ZWEILOUS : MAX(44, 57) ; MIN(16, 4)
SPECIES_HYDREIGON : MAX(37, 63) ; MIN(11, 0)
SPECIES_LARVESTA : MAX(25, 50) ; MIN(31, 10)
SPECIES_VOLCARONA : MAX(16, 59) ; MIN(49, 4)
SPECIES_COBALION : MAX(15, 63) ; MIN(24, 0)
SPECIES_TERRAKION : MAX(35, 57) ; MIN(24, 7)
SPECIES_VIRIZION : MAX(21, 61) ; MIN(10, 2)
SPECIES_TORNADUS : MAX(33, 62) ; MIN(39, 0)
SPECIES_THUNDURUS : MAX(33, 62) ; MIN(29, 1)
SPECIES_RESHIRAM : MAX(33, 62) ; MIN(30, 3)
SPECIES_ZEKROM : MAX(44, 63) ; MIN(57, 0)
SPECIES_LANDORUS : MAX(33, 62) ; MIN(46, 0)
SPECIES_KYUREM : MAX(44, 57) ; MIN(47, 2)
SPECIES_KELDEO : MAX(26, 58) ; MIN(27, 6)
SPECIES_MELOETTA : MAX(38, 54) ; MIN(20, 8)
SPECIES_GENESECT : MAX(53, 63) ; MIN(25, 4)
SPECIES_CHESPIN : MAX(17, 53) ; MIN(33, 10)
SPECIES_QUILLADIN : MAX(42, 53) ; MIN(49, 9)
SPECIES_CHESNAUGHT : MAX(44, 59) ; MIN(17, 3)
SPECIES_FENNEKIN : MAX(26, 53) ; MIN(20, 10)
SPECIES_BRAIXEN : MAX(35, 59) ; MIN(19, 2)
SPECIES_DELPHOX : MAX(24, 63) ; MIN(48, 0)
SPECIES_FROAKIE : MAX(37, 51) ; MIN(22, 17)
SPECIES_FROGADIER : MAX(10, 55) ; MIN(19, 12)
SPECIES_GRENINJA : MAX(3, 56) ; MIN(21, 6)
SPECIES_BUNNELBY : MAX(33, 58) ; MIN(39, 2)
SPECIES_DIGGERSBY : MAX(45, 59) ; MIN(31, 3)
SPECIES_FLETCHLING : MAX(29, 51) ; MIN(23, 20)
SPECIES_FLETCHINDER : MAX(38, 55) ; MIN(30, 11)
SPECIES_TALONFLAME : MAX(29, 62) ; MIN(8, 0)
SPECIES_SCATTERBUG : MAX(28, 50) ; MIN(34, 11)
SPECIES_SPEWPA : MAX(21, 52) ; MIN(27, 15)
SPECIES_VIVILLON : MAX(18, 63) ; MIN(55, 0)
SPECIES_LITLEO : MAX(33, 53) ; MIN(27, 14)
SPECIES_PYROAR : MAX(27, 63) ; MIN(9, 0)
SPECIES_FLABEBE : MAX(33, 57) ; MIN(27, 8)
SPECIES_FLOETTE : MAX(30, 60) ; MIN(28, 1)
SPECIES_FLORGES : MAX(21, 63) ; MIN(27, 0)
SPECIES_SKIDDO : MAX(28, 56) ; MIN(16, 11)
SPECIES_GOGOAT : MAX(33, 61) ; MIN(11, 3)
SPECIES_PANCHAM : MAX(23, 51) ; MIN(30, 11)
SPECIES_PANGORO : MAX(43, 63) ; MIN(26, 0)
SPECIES_FURFROU : MAX(29, 60) ; MIN(25, 1)
SPECIES_ESPURR : MAX(27, 53) ; MIN(30, 12)
SPECIES_MEOWSTIC : MAX(33, 60) ; MIN(13, 7)
SPECIES_HONEDGE : MAX(33, 59) ; MIN(28, 8)
SPECIES_DOUBLADE : MAX(42, 58) ; MIN(60, 2)
SPECIES_AEGISLASH : MAX(28, 63) ; MIN(32, 0)
SPECIES_SPRITZEE : MAX(29, 51) ; MIN(29, 9)
SPECIES_AROMATISSE : MAX(36, 59) ; MIN(18, 4)
SPECIES_SWIRLIX : MAX(36, 49) ; MIN(30, 16)
SPECIES_SLURPUFF : MAX(22, 55) ; MIN(30, 4)
SPECIES_INKAY : MAX(29, 49) ; MIN(29, 11)
SPECIES_MALAMAR : MAX(42, 63) ; MIN(34, 0)
SPECIES_BINACLE : MAX(24, 54) ; MIN(41, 5)
SPECIES_BARBARACLE : MAX(49, 63) ; MIN(7, 0)
SPECIES_SKRELP : MAX(30, 55) ; MIN(29, 11)
SPECIES_DRAGALGE : MAX(21, 63) ; MIN(20, 0)
SPECIES_CLAUNCHER : MAX(40, 49) ; MIN(31, 14)
SPECIES_CLAWITZER : MAX(9, 53) ; MIN(42, 3)
SPECIES_HELIOPTILE : MAX(24, 50) ; MIN(26, 15)
SPECIES_HELIOLISK : MAX(36, 59) ; MIN(27, 4)
SPECIES_TYRUNT : MAX(42, 52) ; MIN(24, 13)
SPECIES_TYRANTRUM : MAX(36, 63) ; MIN(19, 0)
SPECIES_AMAURA : MAX(30, 55) ; MIN(18, 7)
SPECIES_AURORUS : MAX(13, 63) ; MIN(7, 0)
SPECIES_SYLVEON : MAX(25, 59) ; MIN(18, 6)
SPECIES_HAWLUCHA : MAX(42, 55) ; MIN(33, 7)
SPECIES_DEDENNE : MAX(34, 50) ; MIN(38, 15)
SPECIES_CARBINK : MAX(29, 53) ; MIN(20, 16)
SPECIES_GOOMY : MAX(24, 50) ; MIN(26, 13)
SPECIES_SLIGGOO : MAX(23, 57) ; MIN(26, 3)
SPECIES_GOODRA : MAX(37, 63) ; MIN(21, 0)
SPECIES_KLEFKI : MAX(18, 59) ; MIN(29, 4)
SPECIES_PHANTUMP : MAX(30, 52) ; MIN(38, 10)
SPECIES_TREVENANT : MAX(36, 62) ; MIN(42, 0)
SPECIES_PUMPKABOO : MAX(26, 50) ; MIN(27, 12)
SPECIES_GOURGEIST : MAX(27, 59) ; MIN(23, 1)
SPECIES_BERGMITE : MAX(36, 49) ; MIN(33, 12)
SPECIES_AVALUGG : MAX(40, 59) ; MIN(45, 10)
SPECIES_NOIBAT : MAX(38, 55) ; MIN(41, 8)
SPECIES_NOIVERN : MAX(47, 60) ; MIN(30, 1)
SPECIES_XERNEAS : MAX(21, 63) ; MIN(10, 0)
SPECIES_YVELTAL : MAX(11, 63) ; MIN(13, 0)
SPECIES_ZYGARDE : MAX(28, 63) ; MIN(29, 0)
SPECIES_DIANCIE : MAX(30, 62) ; MIN(27, 1)
SPECIES_HOOPA : MAX(30, 52) ; MIN(31, 12)
SPECIES_VOLCANION : MAX(46, 63) ; MIN(37, 0)
SPECIES_ROWLET : MAX(33, 51) ; MIN(28, 15)
SPECIES_DARTRIX : MAX(34, 55) ; MIN(20, 9)
SPECIES_DECIDUEYE : MAX(35, 63) ; MIN(30, 0)
SPECIES_LITTEN : MAX(25, 51) ; MIN(15, 12)
SPECIES_TORRACAT : MAX(11, 61) ; MIN(52, 2)
SPECIES_INCINEROAR : MAX(14, 63) ; MIN(32, 0)
SPECIES_POPPLIO : MAX(37, 52) ; MIN(28, 14)
SPECIES_BRIONNE : MAX(34, 57) ; MIN(21, 7)
SPECIES_PRIMARINA : MAX(18, 63) ; MIN(47, 0)
SPECIES_PIKIPEK : MAX(27, 52) ; MIN(32, 14)
SPECIES_TRUMBEAK : MAX(29, 57) ; MIN(32, 7)
SPECIES_TOUCANNON : MAX(37, 61) ; MIN(28, 3)
SPECIES_YUNGOOS : MAX(24, 51) ; MIN(10, 23)
SPECIES_GUMSHOOS : MAX(31, 58) ; MIN(13, 7)
SPECIES_GRUBBIN : MAX(33, 46) ; MIN(33, 22)
SPECIES_CHARJABUG : MAX(26, 49) ; MIN(34, 18)
SPECIES_VIKAVOLT : MAX(14, 57) ; MIN(6, 4)
SPECIES_CRABRAWLER : MAX(7, 56) ; MIN(29, 9)
SPECIES_CRABOMINABLE : MAX(9, 63) ; MIN(12, 1)
SPECIES_ORICORIO : MAX(25, 61) ; MIN(17, 2)
SPECIES_CUTIEFLY : MAX(29, 47) ; MIN(28, 13)
SPECIES_RIBOMBEE : MAX(22, 58) ; MIN(14, 5)
SPECIES_ROCKRUFF : MAX(29, 52) ; MIN(17, 14)
SPECIES_LYCANROC : MAX(28, 57) ; MIN(16, 5)
SPECIES_WISHIWASHI : MAX(31, 43) ; MIN(29, 24)
SPECIES_MAREANIE : MAX(26, 49) ; MIN(30, 14)
SPECIES_TOXAPEX : MAX(47, 61) ; MIN(14, 4)
SPECIES_MUDBRAY : MAX(26, 56) ; MIN(13, 6)
SPECIES_MUDSDALE : MAX(28, 63) ; MIN(13, 1)
SPECIES_DEWPIDER : MAX(23, 50) ; MIN(27, 10)
SPECIES_ARAQUANID : MAX(53, 61) ; MIN(16, 7)
SPECIES_FOMANTIS : MAX(26, 52) ; MIN(30, 11)
SPECIES_LURANTIS : MAX(27, 61) ; MIN(40, 3)
SPECIES_MORELULL : MAX(34, 53) ; MIN(32, 9)
SPECIES_SHIINOTIC : MAX(26, 59) ; MIN(30, 5)
SPECIES_SALANDIT : MAX(26, 51) ; MIN(51, 13)
SPECIES_SALAZZLE : MAX(39, 62) ; MIN(15, 1)
SPECIES_STUFFUL : MAX(30, 53) ; MIN(16, 15)
SPECIES_BEWEAR : MAX(34, 62) ; MIN(31, 1)
SPECIES_BOUNSWEET : MAX(32, 47) ; MIN(26, 15)
SPECIES_STEENEE : MAX(28, 56) ; MIN(26, 7)
SPECIES_TSAREENA : MAX(29, 62) ; MIN(30, 2)
SPECIES_COMFEY : MAX(34, 54) ; MIN(23, 8)
SPECIES_ORANGURU : MAX(40, 58) ; MIN(44, 7)
SPECIES_PASSIMIAN : MAX(16, 61) ; MIN(53, 2)
SPECIES_WIMPOD : MAX(19, 49) ; MIN(45, 17)
SPECIES_GOLISOPOD : MAX(49, 63) ; MIN(28, 0)
SPECIES_SANDYGAST : MAX(34, 52) ; MIN(35, 10)
SPECIES_PALOSSAND : MAX(13, 63) ; MIN(33, 0)
SPECIES_PYUKUMUKU : MAX(23, 48) ; MIN(24, 22)
SPECIES_TYPE_NULL : MAX(7, 61) ; MIN(28, 2)
SPECIES_SILVALLY : MAX(7, 63) ; MIN(32, 0)
SPECIES_MINIOR : MAX(26, 49) ; MIN(27, 13)
SPECIES_KOMALA : MAX(29, 51) ; MIN(21, 14)
SPECIES_TURTONATOR : MAX(9, 63) ; MIN(49, 1)
SPECIES_TOGEDEMARU : MAX(34, 51) ; MIN(49, 16)
SPECIES_MIMIKYU : MAX(27, 51) ; MIN(28, 12)
SPECIES_BRUXISH : MAX(32, 48) ; MIN(30, 13)
SPECIES_DRAMPA : MAX(21, 63) ; MIN(48, 0)
SPECIES_DHELMISE : MAX(29, 62) ; MIN(22, 1)
SPECIES_JANGMO_O : MAX(30, 55) ; MIN(29, 12)
SPECIES_HAKAMO_O : MAX(36, 62) ; MIN(24, 2)
SPECIES_KOMMO_O : MAX(17, 63) ; MIN(17, 1)
SPECIES_TAPU_KOKO : MAX(34, 62) ; MIN(32, 1)
SPECIES_TAPU_LELE : MAX(32, 57) ; MIN(31, 5)
SPECIES_TAPU_BULU : MAX(36, 63) ; MIN(28, 1)
SPECIES_TAPU_FINI : MAX(24, 61) ; MIN(7, 3)
SPECIES_COSMOG : MAX(29, 53) ; MIN(41, 12)
SPECIES_COSMOEM : MAX(30, 54) ; MIN(31, 8)
SPECIES_SOLGALEO : MAX(36, 63) ; MIN(31, 0)
SPECIES_LUNALA : MAX(37, 63) ; MIN(13, 1)
SPECIES_NIHILEGO : MAX(25, 60) ; MIN(26, 4)
SPECIES_BUZZWOLE : MAX(39, 63) ; MIN(19, 0)
SPECIES_PHEROMOSA : MAX(22, 62) ; MIN(19, 1)
SPECIES_XURKITREE : MAX(39, 63) ; MIN(26, 0)
SPECIES_CELESTEELA : MAX(30, 63) ; MIN(32, 0)
SPECIES_KARTANA : MAX(47, 61) ; MIN(46, 2)
SPECIES_GUZZLORD : MAX(54, 60) ; MIN(8, 4)
SPECIES_NECROZMA : MAX(40, 61) ; MIN(28, 2)
SPECIES_MAGEARNA : MAX(26, 63) ; MIN(40, 0)
SPECIES_MARSHADOW : MAX(27, 54) ; MIN(29, 7)
SPECIES_POIPOLE : MAX(26, 55) ; MIN(34, 6)
SPECIES_NAGANADEL : MAX(41, 62) ; MIN(30, 1)
SPECIES_STAKATAKA : MAX(40, 63) ; MIN(33, 0)
SPECIES_BLACEPHALON : MAX(21, 62) ; MIN(29, 1)
SPECIES_ZERAORA : MAX(53, 59) ; MIN(16, 7)
SPECIES_MELTAN : MAX(24, 52) ; MIN(24, 15)
SPECIES_MELMETAL : MAX(23, 59) ; MIN(19, 7)
SPECIES_GROOKEY : MAX(29, 51) ; MIN(25, 10)
SPECIES_THWACKEY : MAX(42, 56) ; MIN(37, 7)
SPECIES_RILLABOOM : MAX(22, 60) ; MIN(29, 0)
